country_code,indicator_code,year,value
CMR,UNDP.HDI,1990,0.448
GHA,UNDP.HDI,1990,0.432
KEN,UNDP.HDI,1990,0.485
NGA,UNDP.HDI,1990,0.379
RWA,UNDP.HDI,1990,
ZAF,UNDP.HDI,1990,0.633
CMR,UNDP.HDI,1991,0.445
GHA,UNDP.HDI,1991,0.438
KEN,UNDP.HDI,1991,0.485
NGA,UNDP.HDI,1991,0.383
RWA,UNDP.HDI,1991,
ZAF,UNDP.HDI,1991,0.641
CMR,UNDP.HDI,1992,0.442
GHA,UNDP.HDI,1992,0.444
KEN,UNDP.HDI,1992,0.484
NGA,UNDP.HDI,1992,0.388
RWA,UNDP.HDI,1992,
ZAF,UNDP.HDI,1992,0.645
CMR,UNDP.HDI,1993,0.436
GHA,UNDP.HDI,1993,0.45
KEN,UNDP.HDI,1993,0.483
NGA,UNDP.HDI,1993,0.393
RWA,UNDP.HDI,1993,
ZAF,UNDP.HDI,1993,0.65
CMR,UNDP.HDI,1994,0.434
GHA,UNDP.HDI,1994,0.453
KEN,UNDP.HDI,1994,0.484
NGA,UNDP.HDI,1994,0.397
RWA,UNDP.HDI,1994,
ZAF,UNDP.HDI,1994,0.654
CMR,UNDP.HDI,1995,0.433
GHA,UNDP.HDI,1995,0.459
KEN,UNDP.HDI,1995,0.488
NGA,UNDP.HDI,1995,0.402
RWA,UNDP.HDI,1995,0.294
ZAF,UNDP.HDI,1995,0.654
CMR,UNDP.HDI,1996,0.432
GHA,UNDP.HDI,1996,0.465
KEN,UNDP.HDI,1996,0.491
NGA,UNDP.HDI,1996,0.408
RWA,UNDP.HDI,1996,0.297
ZAF,UNDP.HDI,1996,0.649
CMR,UNDP.HDI,1997,0.432
GHA,UNDP.HDI,1997,0.469
KEN,UNDP.HDI,1997,0.493
NGA,UNDP.HDI,1997,0.413
RWA,UNDP.HDI,1997,0.295
ZAF,UNDP.HDI,1997,0.642
CMR,UNDP.HDI,1998,0.433
GHA,UNDP.HDI,1998,0.475
KEN,UNDP.HDI,1998,0.496
NGA,UNDP.HDI,1998,0.419
RWA,UNDP.HDI,1998,0.304
ZAF,UNDP.HDI,1998,0.634
CMR,UNDP.HDI,1999,0.434
GHA,UNDP.HDI,1999,0.48
KEN,UNDP.HDI,1999,0.499
NGA,UNDP.HDI,1999,0.425
RWA,UNDP.HDI,1999,0.317
ZAF,UNDP.HDI,1999,0.626
CMR,UNDP.HDI,2000,0.439
GHA,UNDP.HDI,2000,0.487
KEN,UNDP.HDI,2000,0.5
NGA,UNDP.HDI,2000,0.435
RWA,UNDP.HDI,2000,0.34
ZAF,UNDP.HDI,2000,0.618
CMR,UNDP.HDI,2001,0.458
GHA,UNDP.HDI,2001,0.486
KEN,UNDP.HDI,2001,0.505
NGA,UNDP.HDI,2001,0.438
RWA,UNDP.HDI,2001,0.37
ZAF,UNDP.HDI,2001,0.613
CMR,UNDP.HDI,2002,0.458
GHA,UNDP.HDI,2002,0.493
KEN,UNDP.HDI,2002,0.504
NGA,UNDP.HDI,2002,0.451
RWA,UNDP.HDI,2002,0.385
ZAF,UNDP.HDI,2002,0.614
CMR,UNDP.HDI,2003,0.465
GHA,UNDP.HDI,2003,0.495
KEN,UNDP.HDI,2003,0.515
NGA,UNDP.HDI,2003,0.464
RWA,UNDP.HDI,2003,0.398
ZAF,UNDP.HDI,2003,0.61
CMR,UNDP.HDI,2004,0.47
GHA,UNDP.HDI,2004,0.503
KEN,UNDP.HDI,2004,0.526
NGA,UNDP.HDI,2004,0.477
RWA,UNDP.HDI,2004,0.417
ZAF,UNDP.HDI,2004,0.613
CMR,UNDP.HDI,2005,0.472
GHA,UNDP.HDI,2005,0.515
KEN,UNDP.HDI,2005,0.532
NGA,UNDP.HDI,2005,0.484
RWA,UNDP.HDI,2005,0.433
ZAF,UNDP.HDI,2005,0.616
CMR,UNDP.HDI,2006,0.473
GHA,UNDP.HDI,2006,0.524
KEN,UNDP.HDI,2006,0.541
NGA,UNDP.HDI,2006,0.489
RWA,UNDP.HDI,2006,0.452
ZAF,UNDP.HDI,2006,0.622
CMR,UNDP.HDI,2007,0.485
GHA,UNDP.HDI,2007,0.534
KEN,UNDP.HDI,2007,0.548
NGA,UNDP.HDI,2007,0.492
RWA,UNDP.HDI,2007,0.467
ZAF,UNDP.HDI,2007,0.632
CMR,UNDP.HDI,2008,0.501
GHA,UNDP.HDI,2008,0.546
KEN,UNDP.HDI,2008,0.553
NGA,UNDP.HDI,2008,0.497
RWA,UNDP.HDI,2008,0.479
ZAF,UNDP.HDI,2008,0.643
CMR,UNDP.HDI,2009,0.516
GHA,UNDP.HDI,2009,0.551
KEN,UNDP.HDI,2009,0.553
NGA,UNDP.HDI,2009,0.499
RWA,UNDP.HDI,2009,0.493
ZAF,UNDP.HDI,2009,0.657
CMR,UNDP.HDI,2010,0.529
GHA,UNDP.HDI,2010,0.558
KEN,UNDP.HDI,2010,0.552
NGA,UNDP.HDI,2010,0.502
RWA,UNDP.HDI,2010,0.504
ZAF,UNDP.HDI,2010,0.669
CMR,UNDP.HDI,2011,0.538
GHA,UNDP.HDI,2011,0.568
KEN,UNDP.HDI,2011,0.56
NGA,UNDP.HDI,2011,0.508
RWA,UNDP.HDI,2011,0.512
ZAF,UNDP.HDI,2011,0.683
CMR,UNDP.HDI,2012,0.549
GHA,UNDP.HDI,2012,0.575
KEN,UNDP.HDI,2012,0.565
NGA,UNDP.HDI,2012,0.512
RWA,UNDP.HDI,2012,0.521
ZAF,UNDP.HDI,2012,0.696
CMR,UNDP.HDI,2013,0.558
GHA,UNDP.HDI,2013,0.582
KEN,UNDP.HDI,2013,0.57
NGA,UNDP.HDI,2013,0.517
RWA,UNDP.HDI,2013,0.499
ZAF,UNDP.HDI,2013,0.705
CMR,UNDP.HDI,2014,0.566
GHA,UNDP.HDI,2014,0.58
KEN,UNDP.HDI,2014,0.576
NGA,UNDP.HDI,2014,0.524
RWA,UNDP.HDI,2014,0.525
ZAF,UNDP.HDI,2014,0.713
CMR,UNDP.HDI,2015,0.575
GHA,UNDP.HDI,2015,0.588
KEN,UNDP.HDI,2015,0.583
